用例ID,用例名称,执行步骤,预期结果,转人工预期,转人工触发条件,测试目标,前置条件,测试数据,测试数据（英文提问）,来源分类,执行结果,缺陷记录,是否使用新会话,实际回复内容（英文）,知识库是否命中,回复是否准确,意图标签是否准确,实际识别的意图标签,转人工时机是否准确,备注
TC-H70-013-N,[提机规则] 可以换门店提机吗？【直接转人工场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“可以换门店提机吗？”。步骤3：核对机器人识别的业务场景是否为“提机规则”。步骤4：确认机器人首轮触发人工转接，并给出清晰的转接提示。步骤5：确认机器人未继续承诺人工才能完成的业务操作。,机器人应识别为“提机规则”，并直接触发人工转接。可发送简短承接话术，但不应声称已完成取消、修改、查询或协调等人工操作。,是,门店变更需人工处理。,验证首轮意图识别及直接转人工召回,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,可以换门店提机吗？,Can I change the store for pickup?,,,,,,,,,,,
TC-H70-014-N,[门店信息] 我所在的城市有门店吗？【直接转人工场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“我所在的城市有门店吗？”。步骤3：核对机器人识别的业务场景是否为“门店信息”。步骤4：确认机器人首轮触发人工转接，并给出清晰的转接提示。步骤5：确认机器人未继续承诺人工才能完成的业务操作。,机器人应识别为“门店信息”，并直接触发人工转接。可发送简短承接话术，但不应声称已完成取消、修改、查询或协调等人工操作。,是,需确认具体城市覆盖情况。,验证首轮意图识别及直接转人工召回,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我所在的城市有门店吗？,Is there a store in my city?,,,,,,,,,,,
TC-H70-015-N,[官方身份说明] HOT 70 Pro是正品吗？有保修吗？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“HOT 70 Pro是正品吗？有保修吗？”。步骤3：核对机器人识别的业务场景是否为“官方身份说明”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"当然！HOT 70 Pro 5G 是 100% 正品传音产品，具有：
? 完整的制造商保修
? 传音服务中心的官方售后服务
? 3 年操作系统更新 + 5 年安全更新

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT 70 Pro是正品吗？有保修吗？,"Is the HOT 70 Pro genuine, and does it come with a warranty?",,,,,,,,,,,
TC-H70-016-N,[人工兜底规则] 我想取消预订【直接转人工场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“我想取消预订”。步骤3：核对机器人识别的业务场景是否为“人工兜底规则”。步骤4：确认机器人首轮触发人工转接，并给出清晰的转接提示。步骤5：确认机器人未继续承诺人工才能完成的业务操作。,机器人应识别为“人工兜底规则”，并直接触发人工转接。可发送简短承接话术，但不应声称已完成取消、修改、查询或协调等人工操作。,是,取消预订需人工处理。,验证首轮意图识别及直接转人工召回,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我想取消预订,I want to cancel my pre-order.,,,,,,,,,,,
TC-H70-017-N,[人工兜底规则] 我要投诉/反馈问题【直接转人工场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“我要投诉/反馈问题”。步骤3：核对机器人识别的业务场景是否为“人工兜底规则”。步骤4：确认机器人首轮触发人工转接，并给出清晰的转接提示。步骤5：确认机器人未继续承诺人工才能完成的业务操作。,机器人应识别为“人工兜底规则”，并直接触发人工转接。可发送简短承接话术，但不应声称已完成取消、修改、查询或协调等人工操作。,是,直接进入人工。,验证首轮意图识别及直接转人工召回,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,我要投诉/反馈问题,I want to make a complaint or report a problem.,,,,,,,,,,,
TC-H70-018-N,[人工兜底规则] 到店后无法提机【直接转人工场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“到店后无法提机”。步骤3：核对机器人识别的业务场景是否为“人工兜底规则”。步骤4：确认机器人首轮触发人工转接，并给出清晰的转接提示。步骤5：确认机器人未继续承诺人工才能完成的业务操作。,机器人应识别为“人工兜底规则”，并直接触发人工转接。可发送简短承接话术，但不应声称已完成取消、修改、查询或协调等人工操作。,是,直接进入人工，需协调门店。,验证首轮意图识别及直接转人工召回,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,到店后无法提机,"I'm at the store, but I can't pick up the phone.",,,,,,,,,,,
TC-H70-019-N,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【标准问答场景】,步骤1：开启新的WhatsApp会话。步骤2：发送测试问题：“HOT70 Pro 5G多少钱？”。步骤3：核对机器人识别的业务场景是否为“HOT 70 Pro 商品信息”。步骤4：等待机器人完整回复并核对核心事实。步骤5：确认回复未增加知识库之外的信息。步骤6：确认本轮未错误触发人工转接。,"HOT 70 Pro 5G 128GB+8GB 售价为 BDT 36,999。

线上预订免费。在线提交信息后，请前往您选择的 Infinix 门店线下支付 BDT 5,000 订金并确认预订。

如果已支付 BDT 5,000 订金，提机时需支付剩余尾款 BDT 31,999。

验收要求：核心事实正确、关键信息完整、无知识库外编造；标准咨询场景下不应触发人工转接。",否,无（标准咨询场景）,验证意图分类、知识命中、回答准确性及错误转人工控制,1) 已接入Hot70 WhatsApp机器人；2) 测试账号可正常收发消息；3) 使用与上线一致的知识库、Prompt和模型配置；4) 可查看会话日志或Trace。,HOT70 Pro 5G多少钱？,How much is the HOT 70 Pro 5G?,,,,,,,,,,,
TC-H70-019-H-C01,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：门店报价不一致】,"步骤1：先执行关联标准用例“TC-H70-019-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“门店跟我说是 38,999，不是你说的 36,999。”。步骤3：核对机器人能结合前序问题识别当前触发条件“门店报价不一致”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。",机器人应结合上下文识别“门店报价不一致”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,门店报价不一致,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-019-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,"门店跟我说是 38,999，不是你说的 36,999。","The store told me it's BDT 38,999, not BDT 36,999.",,,,,,,,,,,
TC-H70-019-H-C02,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：特殊价格】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“两台一起买能不能给个便宜点的价格？”。步骤3：核对机器人能结合前序问题识别当前触发条件“特殊价格”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“特殊价格”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,特殊价格,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-019-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,两台一起买能不能给个便宜点的价格？,Can I get a better price if I buy two phones?,,,,,,,,,,,
TC-H70-019-H-C03,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：优惠叠加】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我已经有门店券了，这个活动优惠还能一起用吗？”。步骤3：核对机器人能结合前序问题识别当前触发条件“优惠叠加”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“优惠叠加”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,优惠叠加,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-019-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我已经有门店券了，这个活动优惠还能一起用吗？,I already have a store voucher. Can I use this event offer as well?,,,,,,,,,,,
TC-H70-019-H-C04,[HOT 70 Pro 商品信息] HOT70 Pro 5G多少钱？【条件式转人工场景：价格争议】,步骤1：先执行关联标准用例“TC-H70-019-N”，并保持该WhatsApp会话不关闭。步骤2：在同一会话中继续发送更贴近真实客户的追问：“我已经付钱了，门店又让我多交一笔。”。步骤3：核对机器人能结合前序问题识别当前触发条件“价格争议”。步骤4：观察系统是否按规则触发人工转接，并核对转接话术是否与当前问题相关。步骤5：确认机器人没有机械重复标准答案，也没有编造处理结果。,机器人应结合上下文识别“价格争议”场景，停止继续给出确定性业务结论并触发人工转接；转接前话术应与当前问题相关。,是,价格争议,验证多轮上下文理解、条件式转人工召回及转接话术相关性,1) 先新建会话并完成“TC-H70-019-N”；2) 机器人已给出标准回答；3) 当前仍保持同一会话；4) 尚未发生人工接管。,我已经付钱了，门店又让我多交一笔。,"I've already paid, but the store is asking me for more money.",,,,,,,,,,,
